dep,last_date,path_data,n_jobs,n_jobs_text,time,id_uuid
moquegua,28-09-2024,/data/moquegua/28-09-2024.csv,20,20 puesto(s) encontrado(s) en total.,,77097a4c-ddcc-414e-8621-b86c95d48e0c
pasco,28-09-2024,/data/pasco/28-09-2024.csv,25,25 puesto(s) encontrado(s) en total.,,cfa3d088-d962-44c4-a7e4-c37b575f2c33
piura,28-09-2024,/data/piura/28-09-2024.csv,37,37 puesto(s) encontrado(s) en total.,,d0c28bd6-b1e8-4ac7-933c-f9ec83233839
cusco,28-09-2024,/data/cusco/28-09-2024.csv,158,158 puesto(s) encontrado(s) en total.,,393d35d8-49e0-42ba-8cc5-c028a7dbe889
puno,28-09-2024,/data/puno/28-09-2024.csv,129,129 puesto(s) encontrado(s) en total.,,464376c6-0db5-4ada-8f7e-14ce2f13cdf1
huancavelica,28-09-2024,/data/huancavelica/28-09-2024.csv,110,110 puesto(s) encontrado(s) en total.,,d3eecd00-9e89-401c-b105-5f395eb3c9c4
san_martin,28-09-2024,/data/san_martin/28-09-2024.csv,38,38 puesto(s) encontrado(s) en total.,,42c4f176-f7ab-4dc7-83ee-80831201f48b
tacna,28-09-2024,/data/tacna/28-09-2024.csv,35,35 puesto(s) encontrado(s) en total.,,d191eba9-4ba1-45e8-9a84-89cda761d8f0
tumbes,28-09-2024,/data/tumbes/28-09-2024.csv,6,6 puesto(s) encontrado(s) en total.,,166e04a1-a33a-47e2-af0e-497f4967075e
huanuco,28-09-2024,/data/huanuco/28-09-2024.csv,98,98 puesto(s) encontrado(s) en total.,,96fc88f0-d1c3-4a02-b223-43790059a979
ica,28-09-2024,/data/ica/28-09-2024.csv,31,31 puesto(s) encontrado(s) en total.,,187d22eb-60ec-48a1-937b-6c329116fed1
lima,28-09-2024,/data/lima/28-09-2024.csv,1137,1137 puesto(s) encontrado(s) en total.,,a2202109-af47-4874-9b6f-504d26c75fed
ucayali,28-09-2024,/data/ucayali/28-09-2024.csv,148,148 puesto(s) encontrado(s) en total.,,cc322e34-3188-4085-bacd-0a8489efc50d
junin,28-09-2024,/data/junin/28-09-2024.csv,202,202 puesto(s) encontrado(s) en total.,,9a569a5e-27bb-409e-b4c2-4bce7cd7faec
amazonas,30-09-2024,/data/amazonas/30-09-2024.csv,36,36 puesto(s) encontrado(s) en total.,,3e02c7de-d14e-4d00-80b0-968abfe2fcf2
ancash,30-09-2024,/data/ancash/30-09-2024.csv,42,42 puesto(s) encontrado(s) en total.,,c2decaec-ca84-48e3-b2e2-d002e96ade62
apurimac,30-09-2024,/data/apurimac/30-09-2024.csv,100,100 puesto(s) encontrado(s) en total.,,1ea7f7ff-6f58-432c-97b6-ee42eb29264f
junin,30-09-2024,/data/junin/30-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,38011972-0553-43c8-acd0-2a1966c14da3
arequipa,30-09-2024,/data/arequipa/30-09-2024.csv,85,85 puesto(s) encontrado(s) en total.,,119c0296-28ec-4160-b668-caf4e00b0a12
ayacucho,30-09-2024,/data/ayacucho/30-09-2024.csv,41,41 puesto(s) encontrado(s) en total.,,0b9b2534-797c-43d7-9271-f4914286b997
la_libertad,30-09-2024,/data/la_libertad/30-09-2024.csv,200,200 puesto(s) encontrado(s) en total.,,ea2f7543-9fbe-4df4-918b-6c8ae38119dd
lambayeque,30-09-2024,/data/lambayeque/30-09-2024.csv,48,48 puesto(s) encontrado(s) en total.,,69e2e99f-8c0b-4987-be62-edcb2993a162
cajamarca,30-09-2024,/data/cajamarca/30-09-2024.csv,141,141 puesto(s) encontrado(s) en total.,,a6d5bf0b-cc89-4a4a-b7b6-b38f613c3ff3
loreto,30-09-2024,/data/loreto/30-09-2024.csv,37,37 puesto(s) encontrado(s) en total.,,4651117a-ea81-4f0f-a9d1-993b2e3e7aff
callao,30-09-2024,/data/callao/30-09-2024.csv,24,24 puesto(s) encontrado(s) en total.,,0a7bedf9-7bd8-45cf-b93a-f2240016d77c
madre_de_dios,30-09-2024,/data/madre_de_dios/30-09-2024.csv,12,12 puesto(s) encontrado(s) en total.,,36fa0bec-0eb6-4cef-af8c-697c6bb8aa7c
moquegua,30-09-2024,/data/moquegua/30-09-2024.csv,30,30 puesto(s) encontrado(s) en total.,,4e644fcd-a14f-459c-b933-a753b00533cc
pasco,30-09-2024,/data/pasco/30-09-2024.csv,27,27 puesto(s) encontrado(s) en total.,,8a5da064-103d-49bf-8d4d-0b045ff294e2
cusco,30-09-2024,/data/cusco/30-09-2024.csv,159,159 puesto(s) encontrado(s) en total.,,c4308024-c6dc-49b9-883b-242f2a38e570
piura,30-09-2024,/data/piura/30-09-2024.csv,65,65 puesto(s) encontrado(s) en total.,,0563311d-06db-47bd-83c9-65b9008cbd09
puno,30-09-2024,/data/puno/30-09-2024.csv,130,130 puesto(s) encontrado(s) en total.,,3be62583-362f-402f-b3fe-6c1ddedeec99
huancavelica,30-09-2024,/data/huancavelica/30-09-2024.csv,115,115 puesto(s) encontrado(s) en total.,,e68dd2de-d7a1-4b15-ac0f-ae3e2c16154a
san_martin,30-09-2024,/data/san_martin/30-09-2024.csv,40,40 puesto(s) encontrado(s) en total.,,6c05ef15-9be5-4253-a107-a86ffb1b68b9
tacna,30-09-2024,/data/tacna/30-09-2024.csv,40,40 puesto(s) encontrado(s) en total.,,87c2327f-0393-401d-925e-119092d31e9b
tumbes,30-09-2024,/data/tumbes/30-09-2024.csv,7,7 puesto(s) encontrado(s) en total.,,9dc288ac-5c4f-4adc-8d80-b23d09b2cb92
huanuco,30-09-2024,/data/huanuco/30-09-2024.csv,121,121 puesto(s) encontrado(s) en total.,,6b311452-ca9e-4142-9e63-63a6211b6124
ucayali,30-09-2024,/data/ucayali/30-09-2024.csv,149,149 puesto(s) encontrado(s) en total.,,8b7da6cb-25d6-46c1-9f83-6b59e733949b
ica,30-09-2024,/data/ica/30-09-2024.csv,31,31 puesto(s) encontrado(s) en total.,,44ff9475-bb8f-4b79-a47b-82d29d160cd3
junin,30-09-2024,/data/junin/30-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,3343b975-a470-4b2d-a050-a86f3b14c6a6
lima,30-09-2024,/data/lima/30-09-2024.csv,1337,1337 puesto(s) encontrado(s) en total.,,e3ffb94d-6237-4aa9-a9e2-fc166ee375dd
all,01-10-2024,./data/all/01-10-2024.csv,3196,3196,,1d5ef77d-df87-43ac-a27d-a1de4826b9f8
all,01-10-2024,./data/all/01-10-2024.csv,3196,3196,172.77143359184265,a28c4ed8-7efd-4dab-83b1-ed1e682ebf0b
all,02-10-2024,./data/all/02-10-2024.csv,3215,3215,110.03034520149232,852444a2-1982-4670-bf63-3a24b7df64a7
all,03-10-2024,./data/all/03-10-2024.csv,3439,3439,118.85119318962096,45e5085a-84cb-4b4c-af44-43305854700b
all,04-10-2024,./data/all/04-10-2024.csv,3448,3448,115.11876010894775,11bb47fb-8356-450d-afaf-ad35b838deba
all,04-10-2024,./data/all/04-10-2024.csv,3448,3448,113.58094191551208,1d78f431-b939-4aa1-9948-ad6117e5dc5a
all,04-10-2024,./data/all/04-10-2024.csv,3434,3434,183.9986591339112,7a52af89-e609-4295-9509-a8e8ead5263d
all,07-10-2024,./data/all/07-10-2024.csv,3215,3215,105.25899410247804,4156f0f6-15d0-4e9d-bf44-e789c9311dd7
